organisation_id,schema,programme,category,units,remarks
TSWN,1,general,蔬菜,,
TSWN,1,general,瓜類,,
TSWN,1,general,豆品,,
TSWN,1,general,生果,,
TSWN,1,general,麵包,,
TSWN,1,general,乾糧,,
TSWN,1,general,急凍,,
TSWN,1,general,調味品,,
TSWN,1,general,飲品,,
TSWN,1,general,糖水,,
TSWN,1,general,涼茶,,
TSWN,1,general,粉,,
TSWN,1,general,糕點,,
TSWN,1,general,鴻福堂,,
TSWN,1,general,飯,,
TSWN,1,general,腸粉,,
TSWN,1,general,兒童發展中心,,
TSWN,1,general,蛋,,
TSWN,1,general,奶粉,,
TSWN,1,general,麵,,
TSWN,1,general,內臟,,
TSWN,1,general,咸魚,,
TSWN,1,general,涼荼,,
TSWN,1,general,湯包,,
TSWN,1,general,糉,,
TSWN,1,general,海帶,,
TSWN,1,general,麵根,,
TSWN,1,general, 蛋,,
TSWN,1,general,涼茶 ,,
TSWN,1,general,肉,,
TSWN,1,general,海鮮,,
TSWN,1,general,包點,,
TSWN,1,general,月餅,,
TSWN,1,general,飯商1,,
TSWN,1,general,粥,,
TSWN,1,general,發菜,,
TSWN,1,general,鹼水,,
TSWN,1,general,腐竹,,
TSWN,1,general,魚蛋,,
